expansion,product_label,version,rarity,from_eur,from_cents,available_count,public_product_path,source_date
Retro Pack,Blue Eyes White Dragon V2 Ultra Rare,V2,Ultra Rare,13.00,1300,27,/en/YuGiOh/Products/Singles/Retro-Pack/Blue-Eyes-White-Dragon-V2-Ultra-Rare,2026-08-04
Shonen Jump Magazine,Blue Eyes White Dragon V 1,V1,,1.54,154,123,/en/YuGiOh/Products/Singles/Shonen-Jump-Magazine/Blue-Eyes-White-Dragon-V-1,2026-08-04
Shonen Jump Magazine,Blue Eyes White Dragon V2 Ultra Rare,V2,Ultra Rare,5.00,500,54,/en/YuGiOh/Products/Singles/Shonen-Jump-Magazine/Blue-Eyes-White-Dragon-V2-Ultra-Rare,2026-08-04
Shonen Jump Magazine,Blue Eyes White Dragon V3 Ultra Rare,V3,Ultra Rare,69.90,6990,60,/en/YuGiOh/Products/Singles/Shonen-Jump-Magazine/Blue-Eyes-White-Dragon-V3-Ultra-Rare,2026-08-04
Shonen Jump Magazine,Blue Eyes White Dragon V4 Ultra Rare,V4,Ultra Rare,279.99,27999,10,/en/YuGiOh/Products/Singles/Shonen-Jump-Magazine/Blue-Eyes-White-Dragon-V4-Ultra-Rare,2026-08-04
Speed Duel Battle City Box,Blue Eyes White Dragon V1 Common,V1,Common,0.02,2,462,/en/YuGiOh/Products/Singles/Speed-Duel-Battle-City-Box/Blue-Eyes-White-Dragon-V1-Common,2026-08-04
Speed Duel Battle City Box,Blue Eyes White Dragon V2 Secret Rare,V2,Secret Rare,1.29,129,208,/en/YuGiOh/Products/Singles/Speed-Duel-Battle-City-Box/Blue-Eyes-White-Dragon-V2-Secret-Rare,2026-08-04
Speed Duel Battle City Finals,Blue Eyes White Dragon V1 Common,V1,Common,0.02,2,252,/en/YuGiOh/Products/Singles/Speed-Duel-Battle-City-Finals/Blue-Eyes-White-Dragon-V1-Common,2026-08-04
Speed Duel Battle City Finals,Blue Eyes White Dragon V2 Secret Rare,V2,Secret Rare,10.79,1079,71,/en/YuGiOh/Products/Singles/Speed-Duel-Battle-City-Finals/Blue-Eyes-White-Dragon-V2-Secret-Rare,2026-08-04
Speed Duel Starter Decks Duelists of Tomorrow,Blue Eyes White Dragon,,,0.04,4,495,/en/YuGiOh/Products/Singles/Speed-Duel-Starter-Decks-Duelists-of-Tomorrow/Blue-Eyes-White-Dragon,2026-08-04
Speed Duel Tournament Pack 1,Blue Eyes White Dragon,,,13.50,1350,93,/en/YuGiOh/Products/Singles/Speed-Duel-Tournament-Pack-1/Blue-Eyes-White-Dragon,2026-08-04
Spell of Mask,Blue Eyes White Dragon,,,1250.00,125000,6,/en/YuGiOh/Products/Singles/Spell-of-Mask/Blue-Eyes-White-Dragon,2026-08-04
Starter Box,Blue Eyes White Dragon,,,37.50,3750,20,/en/YuGiOh/Products/Singles/Starter-Box/Blue-Eyes-White-Dragon,2026-08-04
Starter Deck Kaiba,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,0.60,60,919,/en/YuGiOh/Products/Singles/Starter-Deck-Kaiba/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Starter Deck Kaiba,Blue Eyes White Dragon V2 Ultra Rare,V2,Ultra Rare,0.50,50,223,/en/YuGiOh/Products/Singles/Starter-Deck-Kaiba/Blue-Eyes-White-Dragon-V2-Ultra-Rare,2026-08-04
Starter Deck Kaiba,Blue Eyes White Dragon V3 Ultra Rare,V3,Ultra Rare,20.00,2000,8,/en/YuGiOh/Products/Singles/Starter-Deck-Kaiba/Blue-Eyes-White-Dragon-V3-Ultra-Rare,2026-08-04
Starter Deck Kaiba BIK,Blue Eyes White Dragon,,,2.50,250,129,/en/YuGiOh/Products/Singles/Starter-Deck-Kaiba-BIK/Blue-Eyes-White-Dragon,2026-08-04
Starter Deck Kaiba DDK,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,0.60,60,221,/en/YuGiOh/Products/Singles/Starter-Deck-Kaiba-DDK/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Starter Deck Kaiba DDK,Blue Eyes White Dragon V2 Ultra Rare,V2,Ultra Rare,3.89,389,65,/en/YuGiOh/Products/Singles/Starter-Deck-Kaiba-DDK/Blue-Eyes-White-Dragon-V2-Ultra-Rare,2026-08-04
Starter Deck Kaiba DIK,Blue Eyes White Dragon,,,3.50,350,43,/en/YuGiOh/Products/Singles/Starter-Deck-Kaiba-DIK/Blue-Eyes-White-Dragon,2026-08-04
Starter Deck Kaiba Evolution,Blue Eyes White Dragon,,,0.05,5,1189,/en/YuGiOh/Products/Singles/Starter-Deck-Kaiba-Evolution/Blue-Eyes-White-Dragon,2026-08-04
Starter Deck Kaiba MIK,Blue Eyes White Dragon,,,0.50,50,332,/en/YuGiOh/Products/Singles/Starter-Deck-Kaiba-MIK/Blue-Eyes-White-Dragon,2026-08-04
Starter Deck Kaiba Reloaded,Blue Eyes White Dragon V 1,V1,,0.02,2,604,/en/YuGiOh/Products/Singles/Starter-Deck-Kaiba-Reloaded/Blue-Eyes-White-Dragon-V-1,2026-08-04
Starter Deck Kaiba Reloaded,Blue Eyes White Dragon V 2,V2,,0.99,99,868,/en/YuGiOh/Products/Singles/Starter-Deck-Kaiba-Reloaded/Blue-Eyes-White-Dragon-V-2,2026-08-04
Structure Deck Advent of the Eyes of Blue,Blue Eyes White Dragon V1 Common,V1,Common,0.38,38,7,/en/YuGiOh/Products/Singles/Structure-Deck-Advent-of-the-Eyes-of-Blue/Blue-Eyes-White-Dragon-V1-Common,2026-08-04
Structure Deck Advent of the Eyes of Blue,Blue Eyes White Dragon V2 Common,V2,Common,0.50,50,6,/en/YuGiOh/Products/Singles/Structure-Deck-Advent-of-the-Eyes-of-Blue/Blue-Eyes-White-Dragon-V2-Common,2026-08-04
Structure Deck Advent of the Eyes of Blue,Blue Eyes White Dragon V3 Common,V3,Common,0.20,20,9,/en/YuGiOh/Products/Singles/Structure-Deck-Advent-of-the-Eyes-of-Blue/Blue-Eyes-White-Dragon-V3-Common,2026-08-04
Structure Deck Blue Eyes White Destiny,Blue Eyes White Dragon V1 Common,V1,Common,0.02,2,11995,/en/YuGiOh/Products/Singles/Structure-Deck-Blue-Eyes-White-Destiny/Blue-Eyes-White-Dragon-V1-Common,2026-08-04
Structure Deck Blue Eyes White Destiny,Blue Eyes White Dragon V2 Common,V2,Common,0.02,2,11910,/en/YuGiOh/Products/Singles/Structure-Deck-Blue-Eyes-White-Destiny/Blue-Eyes-White-Dragon-V2-Common,2026-08-04
Structure Deck Blue Eyes White Destiny,Blue Eyes White Dragon V3 Common,V3,Common,0.02,2,11500,/en/YuGiOh/Products/Singles/Structure-Deck-Blue-Eyes-White-Destiny/Blue-Eyes-White-Dragon-V3-Common,2026-08-04
Structure Deck Dragonic Legion,Blue Eyes White Dragon,,,0.79,79,14,/en/YuGiOh/Products/Singles/Structure-Deck-Dragonic-Legion/Blue-Eyes-White-Dragon,2026-08-04
Structure Deck Dragons Collide,Blue Eyes White Dragon,,,0.02,2,375,/en/YuGiOh/Products/Singles/Structure-Deck-Dragons-Collide/Blue-Eyes-White-Dragon,2026-08-04
Structure Deck Kaiba Japanese,Blue Eyes White Dragon V1 Common,V1,Common,1.99,199,11,/en/YuGiOh/Products/Singles/Structure-Deck-Kaiba-Japanese/Blue-Eyes-White-Dragon-V1-Common,2026-08-04
Structure Deck Kaiba Japanese,Blue Eyes White Dragon V2 Common,V2,Common,5.00,500,3,/en/YuGiOh/Products/Singles/Structure-Deck-Kaiba-Japanese/Blue-Eyes-White-Dragon-V2-Common,2026-08-04
Structure Deck Kaiba Japanese,Blue Eyes White Dragon V3 Common,V3,Common,9.95,995,13,/en/YuGiOh/Products/Singles/Structure-Deck-Kaiba-Japanese/Blue-Eyes-White-Dragon-V3-Common,2026-08-04
Structure Deck Kaiba Volume 2,Blue Eyes White Dragon,,,1.00,100,38,/en/YuGiOh/Products/Singles/Structure-Deck-Kaiba-Volume-2/Blue-Eyes-White-Dragon,2026-08-04
Structure Deck Saga of BlueEyes White Dragon,Blue Eyes White Dragon,,,0.02,2,1074,/en/YuGiOh/Products/Singles/Structure-Deck-Saga-of-BlueEyes-White-Dragon/Blue-Eyes-White-Dragon,2026-08-04
Structure Deck Seto Kaiba,Blue Eyes White Dragon,,,0.02,2,334,/en/YuGiOh/Products/Singles/Structure-Deck-Seto-Kaiba/Blue-Eyes-White-Dragon,2026-08-04
Structure Deck Seto Kaiba OCG,Blue Eyes White Dragon,,,10.00,1000,3,/en/YuGiOh/Products/Singles/Structure-Deck-Seto-Kaiba-OCG/Blue-Eyes-White-Dragon,2026-08-04
Structure Deck The Blue Eyed Dragons Thundering Descent,Blue Eyes White Dragon,,,0.95,95,37,/en/YuGiOh/Products/Singles/Structure-Deck-The-Blue-Eyed-Dragons-Thundering-Descent/Blue-Eyes-White-Dragon,2026-08-04
The Dark Side of Dimensions Movie Pack,Blue Eyes White Dragon V 1,V1,,1.00,100,438,/en/YuGiOh/Products/Singles/The-Dark-Side-of-Dimensions-Movie-Pack/Blue-Eyes-White-Dragon-V-1,2026-08-04
The Dark Side of Dimensions Movie Pack,Blue Eyes White Dragon V 2,V2,,0.75,75,583,/en/YuGiOh/Products/Singles/The-Dark-Side-of-Dimensions-Movie-Pack/Blue-Eyes-White-Dragon-V-2,2026-08-04
The Dark Side of Dimensions Movie Pack,Blue Eyes White Dragon V 3,V3,,1.00,100,922,/en/YuGiOh/Products/Singles/The-Dark-Side-of-Dimensions-Movie-Pack/Blue-Eyes-White-Dragon-V-3,2026-08-04
The Dark Side of Dimensions Movie Pack,Blue Eyes White Dragon V 4 Ultra Rare,V4,Ultra Rare,7.00,700,22,/en/YuGiOh/Products/Singles/The-Dark-Side-of-Dimensions-Movie-Pack/Blue-Eyes-White-Dragon-V-4-Ultra-Rare,2026-08-04
The Dark Side of Dimensions Movie Pack,Blue Eyes White Dragon V5 Secret Rare,V5,Secret Rare,1.89,189,322,/en/YuGiOh/Products/Singles/The-Dark-Side-of-Dimensions-Movie-Pack/Blue-Eyes-White-Dragon-V5-Secret-Rare,2026-08-04
The Dark Side of Dimensions Movie Pack,Blue Eyes White Dragon V6 Ultra Rare,V6,Ultra Rare,0.50,50,599,/en/YuGiOh/Products/Singles/The-Dark-Side-of-Dimensions-Movie-Pack/Blue-Eyes-White-Dragon-V6-Ultra-Rare,2026-08-04
The Rarity Collection,Blue Eyes White Dragon,,,150.00,15000,11,/en/YuGiOh/Products/Singles/The-Rarity-Collection/Blue-Eyes-White-Dragon,2026-08-04
V Jump Promotional Cards OCG,Blue Eyes White Dragon,,,25.00,2500,21,/en/YuGiOh/Products/Singles/V-Jump-Promotional-Cards-OCG/Blue-Eyes-White-Dragon,2026-08-04
World Championship Celebration Promos,Blue Eyes White Dragon V1 Special,V1,,100.00,10000,12,/en/YuGiOh/Products/Singles/World-Championship-Celebration-Promos/Blue-Eyes-White-Dragon-V1-Special,2026-08-04
World Championship Celebration Promos,Blue Eyes White Dragon,V2,,999.00,99900,9,/en/YuGiOh/Products/Singles/World-Championship-Celebration-Promos/Blue-Eyes-White-Dragon,2026-08-04
Yu Gi Oh Championship Prize Cards 2025,Blue Eyes White Dragon V1 Rare,V1,Rare,239.95,23995,15,/en/YuGiOh/Products/Singles/Yu-Gi-Oh-Championship-Prize-Cards-2025/Blue-Eyes-White-Dragon-V1-Rare,2026-08-04
Yu Gi Oh Championship Prize Cards 2025,Blue Eyes White Dragon V2 Rare,V2,Rare,139.99,13999,13,/en/YuGiOh/Products/Singles/Yu-Gi-Oh-Championship-Prize-Cards-2025/Blue-Eyes-White-Dragon-V2-Rare,2026-08-04
