idProduct,idExpansion,idMetacard,dateAdded,category,name,avg,low,trend,avg1,avg7,avg30,avg_foil,low_foil,trend_foil,avg1_foil,avg7_foil,avg30_foil,fields_present,fields_absent,products_created_at,price_guide_created_at,source_date
110695,1191,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,18.89,1,10.18,4.5,17.82,12.29,,,2.39,2.43,2.77,3.13,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
244366,1225,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,0.35,0.04,0.3,0.12,0.24,0.36,,,0.55,0.09,0.17,0.48,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
244495,1236,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,59.45,4,98.94,58.99,71.3,51.62,,,12.16,19.9,7.71,4.24,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
253003,1348,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,0.75,0.02,0.6,0.1,0.68,0.66,,,0.3,0.05,0.37,0.3,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
255447,1375,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,22.47,9.99,23.14,19.99,21.41,18.58,,,5.75,8.29,6.67,4.65,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
255541,1379,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,499.99,1999.99,549.25,499.99,393,251.95,,,179.24,299.99,95.41,95.41,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
255574,1380,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,34.6,3,18.76,29.3,15.51,24.28,,,13.27,14.99,11.53,9.7,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
256596,1372,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,57.64,30,52.94,75.99,56.73,53.5,,,32.87,31.95,32.72,35.85,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
263166,1077,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,48.81,12.99,52.98,69.1,45.86,68.85,,,16.99,20.9,17.11,13.76,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
263746,1044,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,210,77.11,230.27,290,231.66,165.46,,,168,110,134.59,113.87,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
