public_product_path,canonical_url,enrichment_status,attempts,expansion,product_label,version,rarity,edition,printed_code,from_status,from_cents,from_eur,available_count,price_trend_cents,price_trend_eur,avg_1d_cents,avg_1d_eur,avg_7d_cents,avg_7d_eur,avg_30d_cents,avg_30d_eur,detail_ok,fields_present,fields_absent,source_date
/en/YuGiOh/Products/Singles/Anniversary-Pack/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Anniversary-Pack/Blue-Eyes-White-Dragon,pending,0,Anniversary Pack,,,,,,priced,490,4.90,203,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Banzai-Promos/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Banzai-Promos/Blue-Eyes-White-Dragon,pending,0,Banzai Promos,,,,,,priced,5,0.05,217,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Battles-of-Legend-Monster-Mayhem/Blue-Eyes-White-Dragon-V1-Secret-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Battles-of-Legend-Monster-Mayhem/Blue-Eyes-White-Dragon-V1-Secret-Rare,pending,0,Battles of Legend Monster Mayhem,,V1,Secret Rare,,,priced,500,5.00,518,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Battles-of-Legend-Monster-Mayhem/Blue-Eyes-White-Dragon-V2-Starlight-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Battles-of-Legend-Monster-Mayhem/Blue-Eyes-White-Dragon-V2-Starlight-Rare,pending,0,Battles of Legend Monster Mayhem,,V2,Starlight Rare,,,priced,6999,69.99,54,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Beginners-Edition-1-2011/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Beginners-Edition-1-2011/Blue-Eyes-White-Dragon,pending,0,Beginners Edition 1 2011,,,,,,priced,1395,13.95,4,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Beginners-Edition-1/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Beginners-Edition-1/Blue-Eyes-White-Dragon,pending,0,Beginners Edition 1,,,,,,priced,990,9.90,5,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Booster-Pack-Tin/Blue-Eyes-White-Dragon-V-1,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Booster-Pack-Tin/Blue-Eyes-White-Dragon-V-1,pending,0,Booster Pack Tin,,V1,,,,priced,1299,12.99,99,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Booster-Pack-Tin/Blue-Eyes-White-Dragon-V-2,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Booster-Pack-Tin/Blue-Eyes-White-Dragon-V-2,pending,0,Booster Pack Tin,,V2,,,,priced,385,3.85,149,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Dark-Beginning-1/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Dark-Beginning-1/Blue-Eyes-White-Dragon,pending,0,Dark Beginning 1,,,,,,priced,79,0.79,146,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Dark-Duel-Stories/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Dark-Duel-Stories/Blue-Eyes-White-Dragon,pending,0,Dark Duel Stories,,,,,,priced,29000,290.00,23,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Dark-Legends/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Dark-Legends/Blue-Eyes-White-Dragon,pending,0,Dark Legends,,,,,,priced,400,4.00,29,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duel-Overload/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duel-Overload/Blue-Eyes-White-Dragon,pending,0,Duel Overload,,,,,,priced,35,0.35,864,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duel-Royale-Deck-Set-EX/Blue-Eyes-White-Dragon-V1-Common,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duel-Royale-Deck-Set-EX/Blue-Eyes-White-Dragon-V1-Common,pending,0,Duel Royale Deck Set EX,,V1,Common,,,na,,,,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duel-Royale-Deck-Set-EX/Blue-Eyes-White-Dragon-V2-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duel-Royale-Deck-Set-EX/Blue-Eyes-White-Dragon-V2-Ultra-Rare,pending,0,Duel Royale Deck Set EX,,V2,Ultra Rare,,,priced,1999,19.99,3,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duel-Terminal-1/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duel-Terminal-1/Blue-Eyes-White-Dragon,pending,0,Duel Terminal 1,,,,,,priced,300,3.00,65,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duel-Terminal-Preview/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duel-Terminal-Preview/Blue-Eyes-White-Dragon,pending,0,Duel Terminal Preview,,,,,,priced,199999,1999.99,2,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V1-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V1-Rare,pending,0,Duelist League 09,,V1,Rare,,,priced,999,9.99,118,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V2-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V2-Rare,pending,0,Duelist League 09,,V2,Rare,,,priced,1000,10.00,101,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V3-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V3-Rare,pending,0,Duelist League 09,,V3,Rare,,,priced,600,6.00,130,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V4-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V4-Rare,pending,0,Duelist League 09,,V4,Rare,,,priced,1000,10.00,108,,,,,,,,,no,,,2026-08-04
